service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS_SBL 23-33807,1,1,1,1,1,0,0,20230810,20230810
ATS_TBS 23-34169,1,1,1,1,1,0,0,20230804,20230804
ATS_TBS 23-34170,0,0,0,0,0,1,0,20230805,20230805
ATS_TBS 23-34171,0,0,0,0,0,0,1,20230806,20230806
ATS_TBS 23-34241,1,1,1,1,1,0,0,20230807,20230807
ATS_TBS 23-34240,1,1,1,1,1,0,0,20230808,20230809
BBL 23_24-33204,1,1,1,1,1,0,0,20230803,20230929
BCC 23_24-33560,1,1,1,1,0,0,0,20230803,20230928
BCC 23_24-33561,0,0,0,0,1,0,0,20230804,20230929
BCC 23_24-33562,0,0,0,0,0,1,0,20230805,20230930
BCC 23_24-33563,0,0,0,0,0,0,1,20230806,20231002
BITS 23_24-33239,1,1,1,1,1,0,0,20230803,20230929
BITS 23_24-33239-0000100,0,0,0,0,1,0,0,20230803,20230929
BITS 23_24-33237,0,0,0,0,0,1,0,20230805,20230930
BITS 23_24-33238,0,0,0,0,0,0,1,20230806,20231002
CDC 23_24-34102,1,1,1,1,1,0,0,20230803,20230915
BT 23_24-33896,1,1,1,1,1,0,0,20230803,20230915
BT 23_24-33896-1111000,1,1,1,1,0,0,0,20230803,20230915
BT 23_24-33896-0000100,0,0,0,0,1,0,0,20230803,20230915
BT 23_24-33896-1000000,1,0,0,0,0,0,0,20230803,20230915
BT 23_24-33896-0111100,0,1,1,1,1,0,0,20230803,20230915
BT 23_24-33904,0,0,0,0,0,1,0,20230805,20230930
BT 23_24-33907,0,0,0,0,0,0,1,20230806,20231001
BT 23_24-33902,1,1,1,1,1,0,0,20230814,20230818
BT 23_24-33902-0000100,0,0,0,0,1,0,0,20230814,20230818
BT 23_24-33902-1000000,1,0,0,0,0,0,0,20230814,20230818
BT 23_24-33902-0111100,0,1,1,1,1,0,0,20230814,20230818
BT 23_24-33902-1111000,1,1,1,1,0,0,0,20230814,20230818
BT 23_24-33906,0,0,0,0,0,0,1,20230816,20231002
BT 23_24-33901,1,1,1,1,1,0,0,20230918,20230922
BT 23_24-33901-0000100,0,0,0,0,1,0,0,20230918,20230922
BT 23_24-33901-1111000,1,1,1,1,0,0,0,20230918,20230922
BT 23_24-33899,1,1,1,1,1,0,0,20230925,20230929
BT 23_24-33899-0000100,0,0,0,0,1,0,0,20230925,20230929
BT 23_24-33899-1111000,1,1,1,1,0,0,0,20230925,20230929
CBL 23_24-33284,1,1,1,1,1,0,0,20230803,20230915
CBL 23_24-33284-0001000,0,0,0,1,0,0,0,20230803,20230915
CBL 23_24-33281,0,0,0,0,0,1,0,20230805,20230930
CBL 23_24-33283,0,0,0,0,0,0,1,20230806,20231002
CBL 23_24-33955,1,1,1,1,1,1,1,20230814,20230814
CBL 23_24-33955-1111111,1,1,1,1,1,1,1,20230814,20230814
CBL 23_24-33282,1,1,1,1,1,0,0,20230918,20230929
CBL 23_24-33282-0001000,0,0,0,1,0,0,0,20230918,20230929
EVENT23_24-33925,1,1,1,1,1,1,1,20230812,20230820
GCLR 23_24-33288,1,1,1,1,0,0,0,20230803,20231002
GCLR 23_24-33289,0,0,0,0,1,0,0,20230804,20230929
GCLR 23_24-33287,0,0,0,0,0,1,0,20230805,20230930
GCLR 23_24-33286,0,0,0,0,0,0,1,20230806,20231001
GUNM 23-33029,1,1,1,1,1,0,0,20230803,20230922
GUNM 23-33028,1,1,1,1,1,0,0,20230925,20230929
HBL 23_24-33831,1,1,1,1,1,0,0,20230803,20230915
HBL 23_24-33832,0,0,0,0,0,1,0,20230805,20230930
HBL 23_24-33833,0,0,0,0,0,0,1,20230806,20231001
HBL 23_24-33758,1,0,0,0,0,0,0,20230814,20230814
HBL 23_24-33774,0,1,0,0,0,0,0,20230815,20230815
HBL 23_24-33760,0,0,1,0,0,0,0,20230816,20230816
HBL 23_24-33776,0,0,0,1,0,0,0,20230817,20230817
HBL 23_24-33778,0,0,0,0,1,0,0,20230818,20230818
HBL 23_24-33830,1,1,1,1,1,0,0,20230901,20230929
HBL 23_24-33834,0,0,0,0,0,0,1,20231002,20231002
KBL 23_24-34061,1,1,1,1,1,0,0,20230803,20230915
KBL 23_24-33453,0,0,0,0,0,1,0,20230805,20230930
KBL 23_24-33454,0,0,0,0,0,0,1,20230806,20231002
KBL 23_24-33450,1,1,1,1,1,1,1,20230814,20230814
KBL 23_24-33452,1,1,1,1,1,0,0,20230901,20230929
LCBS 23_24-33345,1,1,1,1,1,0,0,20230803,20230804
LCBS 23_24-33345-0001000,0,0,0,1,0,0,0,20230803,20230804
LCBS 23_24-33345-0000100,0,0,0,0,1,0,0,20230803,20230804
LCBS 23_24-33348,0,0,0,0,0,1,0,20230805,20230805
LCBS 23_24-33350,0,0,0,0,0,0,1,20230806,20230806
LCBS 23_24-34120,1,1,1,1,1,0,0,20230807,20230915
LCBS 23_24-34120-0001000,0,0,0,1,0,0,0,20230807,20230915
LCBS 23_24-34120-0000100,0,0,0,0,1,0,0,20230807,20230915
LCBS 23_24-34116,0,0,0,0,0,1,0,20230812,20230930
LCBS 23_24-34114,0,0,0,0,0,0,1,20230813,20231001
LCBS 23_24-34124,0,0,0,0,0,1,0,20230814,20230814
LCBS 23_24-34122,0,1,0,0,0,0,0,20230815,20230815
LCBS 23_24-34121,0,0,1,0,0,0,0,20230816,20230816
LCBS 23_24-34123,0,0,0,1,0,0,0,20230817,20230817
LCBS 23_24-34125,0,0,0,0,1,0,0,20230818,20230818
LCBS 23_24-34119,1,1,1,1,1,0,0,20230901,20230929
LCBS 23_24-34119-0001000,0,0,0,1,0,0,0,20230901,20230929
LCBS 23_24-34119-0000100,0,0,0,0,1,0,0,20230901,20230929
LCBS 23_24-34118,0,0,0,0,0,0,1,20231002,20231002
LOGC 23_24-33196,1,1,1,1,1,0,0,20230803,20230929
LOGC 23_24-33197,0,0,0,0,0,1,0,20230805,20230930
LVB 23_24-33218,1,1,1,1,1,0,0,20230803,20230929
