service_id,date,exception_type
BBL 23_24-33204,20230816,2
BCC 23_24-33560,20230816,2
BCC 23_24-33563,20230816,1
BCC 23_24-33563,20231002,1
BITS 23_24-33238,20231002,1
CDC 23_24-34102,20230901,2
BT 23_24-33896,20230814,2
BT 23_24-33896-1111000,20230814,2
BT 23_24-33896-0000100,20230814,2
BT 23_24-33896-1000000,20230814,2
BT 23_24-33896-0111100,20230814,2
BT 23_24-33896,20230815,2
BT 23_24-33896-1111000,20230815,2
BT 23_24-33896-0000100,20230815,2
BT 23_24-33896-1000000,20230815,2
BT 23_24-33896-0111100,20230815,2
BT 23_24-33896,20230816,2
BT 23_24-33896-1111000,20230816,2
BT 23_24-33896-0000100,20230816,2
BT 23_24-33896-1000000,20230816,2
BT 23_24-33896-0111100,20230816,2
BT 23_24-33896,20230817,2
BT 23_24-33896-1111000,20230817,2
BT 23_24-33896-0000100,20230817,2
BT 23_24-33896-1000000,20230817,2
BT 23_24-33896-0111100,20230817,2
BT 23_24-33896,20230818,2
BT 23_24-33896-1111000,20230818,2
BT 23_24-33896-0000100,20230818,2
BT 23_24-33896-1000000,20230818,2
BT 23_24-33896-0111100,20230818,2
BT 23_24-33902,20230816,2
BT 23_24-33902-0000100,20230816,2
BT 23_24-33902-1000000,20230816,2
BT 23_24-33902-0111100,20230816,2
BT 23_24-33902-1111000,20230816,2
BT 23_24-33906,20230820,2
BT 23_24-33906,20230827,2
BT 23_24-33906,20230903,2
BT 23_24-33906,20230910,2
BT 23_24-33906,20230917,2
BT 23_24-33906,20230924,2
BT 23_24-33906,20231001,2
BT 23_24-33906,20230816,1
BT 23_24-33906,20231002,1
CBL 23_24-33284,20230814,2
CBL 23_24-33284-0001000,20230814,2
CBL 23_24-33283,20231002,1
GUNM 23-33029,20230816,2
HBL 23_24-33831,20230814,2
HBL 23_24-33831,20230815,2
HBL 23_24-33831,20230816,2
HBL 23_24-33831,20230817,2
HBL 23_24-33831,20230818,2
HBL 23_24-33831,20230901,2
HBL 23_24-33830,20230904,2
HBL 23_24-33830,20230905,2
HBL 23_24-33830,20230906,2
HBL 23_24-33830,20230907,2
HBL 23_24-33830,20230908,2
HBL 23_24-33830,20230911,2
HBL 23_24-33830,20230912,2
HBL 23_24-33830,20230913,2
HBL 23_24-33830,20230914,2
HBL 23_24-33830,20230915,2
HBL 23_24-33834,20231002,1
KBL 23_24-34061,20230814,2
KBL 23_24-34061,20230901,2
KBL 23_24-33454,20231002,1
KBL 23_24-33452,20230904,2
KBL 23_24-33452,20230905,2
KBL 23_24-33452,20230906,2
KBL 23_24-33452,20230907,2
KBL 23_24-33452,20230908,2
KBL 23_24-33452,20230911,2
KBL 23_24-33452,20230912,2
KBL 23_24-33452,20230913,2
KBL 23_24-33452,20230914,2
KBL 23_24-33452,20230915,2
LCBS 23_24-34120,20230814,2
LCBS 23_24-34120-0001000,20230814,2
LCBS 23_24-34120-0000100,20230814,2
LCBS 23_24-34120,20230815,2
LCBS 23_24-34120-0001000,20230815,2
LCBS 23_24-34120-0000100,20230815,2
LCBS 23_24-34120,20230816,2
LCBS 23_24-34120-0001000,20230816,2
LCBS 23_24-34120-0000100,20230816,2
LCBS 23_24-34120,20230817,2
LCBS 23_24-34120-0001000,20230817,2
LCBS 23_24-34120-0000100,20230817,2
LCBS 23_24-34120,20230818,2
LCBS 23_24-34120-0001000,20230818,2
LCBS 23_24-34120-0000100,20230818,2
LCBS 23_24-34120,20230901,2
LCBS 23_24-34120-0001000,20230901,2
LCBS 23_24-34120-0000100,20230901,2
LCBS 23_24-34124,20230814,1
LCBS 23_24-34119,20230904,2
LCBS 23_24-34119-0001000,20230904,2
LCBS 23_24-34119-0000100,20230904,2
LCBS 23_24-34119,20230905,2
LCBS 23_24-34119-0001000,20230905,2
LCBS 23_24-34119-0000100,20230905,2
LCBS 23_24-34119,20230906,2
LCBS 23_24-34119-0001000,20230906,2
LCBS 23_24-34119-0000100,20230906,2
LCBS 23_24-34119,20230907,2
LCBS 23_24-34119-0001000,20230907,2
LCBS 23_24-34119-0000100,20230907,2
LCBS 23_24-34119,20230908,2
LCBS 23_24-34119-0001000,20230908,2
LCBS 23_24-34119-0000100,20230908,2
LCBS 23_24-34119,20230911,2
LCBS 23_24-34119-0001000,20230911,2
LCBS 23_24-34119-0000100,20230911,2
LCBS 23_24-34119,20230912,2
LCBS 23_24-34119-0001000,20230912,2
LCBS 23_24-34119-0000100,20230912,2
LCBS 23_24-34119,20230913,2
LCBS 23_24-34119-0001000,20230913,2
LCBS 23_24-34119-0000100,20230913,2
LCBS 23_24-34119,20230914,2
LCBS 23_24-34119-0001000,20230914,2
LCBS 23_24-34119-0000100,20230914,2
LCBS 23_24-34119,20230915,2
LCBS 23_24-34119-0001000,20230915,2
LCBS 23_24-34119-0000100,20230915,2
LCBS 23_24-34118,20231002,1
LOGC 23_24-33196,20230814,2
LVB 23_24-33218,20230814,2
LVB 23_24-33219,20230814,1
LVB 23_24-33219,20231002,1
MGB 23_24-33209,20230816,2
MGB 23_24-33209,20230901,2
MGB 23_24-33207,20230904,2
MGB 23_24-33207,20230905,2
MGB 23_24-33207,20230906,2
MGB 23_24-33207,20230907,2
MGB 23_24-33207,20230908,2
MGB 23_24-33207,20230911,2
MGB 23_24-33207,20230912,2
MGB 23_24-33207,20230913,2
MGB 23_24-33207,20230914,2
MGB 23_24-33207,20230915,2
PRT 23_24-34216,20230814,2
PRT 23_24-34216,20230815,2
PRT 23_24-34216,20230816,2
PRT 23_24-34216,20230817,2
PRT 23_24-34216,20230818,2
PRT 23_24-34216,20230901,2
PRT 23_24-34209,20230904,2
PRT 23_24-34209,20230905,2
PRT 23_24-34209,20230906,2
PRT 23_24-34209,20230907,2
PRT 23_24-34209,20230908,2
PRT 23_24-34209,20230911,2
PRT 23_24-34209,20230912,2
PRT 23_24-34209,20230913,2
PRT 23_24-34209,20230914,2
PRT 23_24-34209,20230915,2
QR 23_24-33671,20230807,2
QR 23_24-33671,20230808,2
QR 23_24-33671,20230809,2
QR 23_24-33671,20230810,2
QR 23_24-33671,20230816,2
QR 23_24-34250,20230816,1
QR 23_24-33811,20231002,1
SBL 23_24-33743,20230901,2
SBL 23_24-33743-1111000,20230901,2
SBL 23_24-33743-0000100,20230901,2
SBL 23_24-33744,20230901,1
SBL 23_24-33744,20231002,1
SUN 23_24-34149,20231002,1
TBS 23_24-33852,20230814,2
TBS 23_24-33852,20230816,2
TBS 23_24-33852,20230901,2
TBS 23_24-33849,20231002,1
TBS 23_24-33851,20230904,2
TBS 23_24-33851,20230905,2
TBS 23_24-33851,20230906,2
TBS 23_24-33851,20230907,2
TBS 23_24-33851,20230908,2
TBS 23_24-33851,20230911,2
TBS 23_24-33851,20230912,2
TBS 23_24-33851,20230913,2
TBS 23_24-33851,20230914,2
TBS 23_24-33851,20230915,2
TDEV 23_24-33409,20230814,2
TDEV 23_24-33409,20230815,2
TDEV 23_24-33409,20230816,2
TDEV 23_24-33409,20230817,2
TDEV 23_24-33409,20230818,2
TDEV 23_24-33409,20230901,2
TDEV 23_24-33411,20230904,2
TDEV 23_24-33411,20230905,2
TDEV 23_24-33411,20230906,2
TDEV 23_24-33411,20230907,2
TDEV 23_24-33411,20230908,2
TDEV 23_24-33411,20230911,2
TDEV 23_24-33411,20230912,2
TDEV 23_24-33411,20230913,2
TDEV 23_24-33411,20230914,2
TDEV 23_24-33411,20230915,2
WBS 23_24-33444,20230901,2
WBS 23_24-33445,20230904,2
WBS 23_24-33445,20230905,2
WBS 23_24-33445,20230906,2
WBS 23_24-33445,20230907,2
WBS 23_24-33445,20230908,2
WBS 23_24-33445,20230911,2
WBS 23_24-33445,20230912,2
WBS 23_24-33445,20230913,2
WBS 23_24-33445,20230914,2
WBS 23_24-33445,20230915,2
WBS 23_24-33446,20231002,1
