trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
24887510-BT 23_24-33896,05:57:00,05:57:00,1853,1.0,0.0,0.0
24887534-BT 23_24-33896,06:02:00,06:02:00,1853,1.0,0.0,0.0
24887565-BT 23_24-33896,06:07:00,06:07:00,1853,1.0,0.0,0.0
24887592-BT 23_24-33896,06:12:00,06:12:00,1853,1.0,0.0,0.0
24887619-BT 23_24-33896,06:17:00,06:17:00,1947,3.0,0.0,0.0
24887620-BT 23_24-33896,06:17:00,06:17:00,1853,1.0,0.0,0.0
24887662-BT 23_24-33896,06:22:00,06:22:00,1853,1.0,0.0,0.0
24887717-BT 23_24-33896,06:48:00,06:48:00,1853,10.0,0.0,0.0
24887719-BT 23_24-33896,06:27:00,06:27:00,1853,1.0,0.0,0.0
24887758-BT 23_24-33896,06:57:00,06:57:00,1853,13.0,0.0,0.0
24887765-BT 23_24-33896,06:59:00,06:59:00,1882,11.0,1.0,0.0
24887766-BT 23_24-33896,06:32:00,06:32:00,1853,1.0,0.0,0.0
24887800-BT 23_24-33896,07:02:00,07:02:00,1853,13.0,0.0,0.0
24887813-BT 23_24-33896,06:37:00,06:37:00,1853,1.0,0.0,0.0
24887814-BT 23_24-33896,06:37:00,06:37:00,1947,3.0,0.0,0.0
24887853-BT 23_24-33896,07:07:00,07:07:00,1853,13.0,0.0,0.0
24887864-BT 23_24-33896,06:53:00,06:54:00,1878,5.0,0.0,0.0
24887868-BT 23_24-33896,06:42:00,06:42:00,1853,1.0,0.0,0.0
24887917-BT 23_24-33896,07:12:00,07:12:00,1853,13.0,0.0,0.0
24887928-BT 23_24-33896,07:52:00,07:52:00,1882,23.0,1.0,0.0
24887933-BT 23_24-33896,07:14:00,07:14:00,1882,11.0,1.0,0.0
24887934-BT 23_24-33896,06:47:00,06:47:00,1853,1.0,0.0,0.0
24887936-BT 23_24-33896,07:23:00,07:23:00,1882,18.0,1.0,0.0
24887996-BT 23_24-33896,07:17:00,07:17:00,1853,13.0,0.0,0.0
24888013-BT 23_24-33896,07:03:00,07:04:00,1878,5.0,0.0,0.0
24888058-BT 23_24-33896,07:33:00,07:33:00,1882,18.0,1.0,0.0
24888065-BT 23_24-33896,07:22:00,07:22:00,1853,13.0,0.0,0.0
24888082-BT 23_24-33896,08:02:00,08:02:00,1882,23.0,1.0,0.0
24888089-BT 23_24-33896,06:57:00,06:57:00,1947,3.0,0.0,0.0
24888091-BT 23_24-33896,07:30:00,07:30:00,1947,29.0,0.0,0.0
24888157-BT 23_24-33896,07:27:00,07:27:00,1853,13.0,0.0,0.0
24888173-BT 23_24-33896,07:13:00,07:14:00,1878,5.0,0.0,0.0
24888174-BT 23_24-33896,07:29:00,07:29:00,1882,11.0,1.0,0.0
24888182-BT 23_24-33896,07:41:00,07:41:00,1882,18.0,1.0,0.0
24888231-BT 23_24-33896,07:32:00,07:32:00,1853,13.0,0.0,0.0
24888240-BT 23_24-33896,08:19:00,08:19:00,1882,23.0,1.0,0.0
24888303-BT 23_24-33896,07:48:00,07:48:00,1882,11.0,1.0,0.0
24888304-BT 23_24-33896,07:48:00,07:48:00,1882,18.0,1.0,0.0
24888316-BT 23_24-33896,07:37:00,07:37:00,1853,13.0,0.0,0.0
24888334-BT 23_24-33896,07:23:00,07:24:00,1878,5.0,0.0,0.0
24888397-BT 23_24-33896,07:42:00,07:42:00,1853,13.0,0.0,0.0
24888411-BT 23_24-33896,08:29:00,08:29:00,1882,23.0,1.0,0.0
24888419-BT 23_24-33896,07:17:00,07:17:00,1947,3.0,0.0,0.0
24888421-BT 23_24-33896,07:50:00,07:50:00,1947,29.0,0.0,0.0
24888425-BT 23_24-33896,07:56:00,07:56:00,1882,11.0,1.0,0.0
24888426-BT 23_24-33896,07:56:00,07:56:00,1882,18.0,1.0,0.0
24888489-BT 23_24-33896,07:47:00,07:47:00,1853,13.0,0.0,0.0
24888507-BT 23_24-33896,07:33:00,07:34:00,1878,5.0,0.0,0.0
24888556-BT 23_24-33896,08:03:00,08:03:00,1882,11.0,1.0,0.0
24888558-BT 23_24-33896,08:03:00,08:03:00,1882,18.0,1.0,0.0
24888563-BT 23_24-33896,07:52:00,07:52:00,1853,13.0,0.0,0.0
24888573-BT 23_24-33896,08:40:00,08:40:00,1882,23.0,1.0,0.0
24888646-BT 23_24-33896,07:58:00,07:58:00,1853,13.0,0.0,0.0
24888660-BT 23_24-33896,07:43:00,07:44:00,1878,5.0,0.0,0.0
24888668-BT 23_24-33896,08:11:00,08:11:00,1882,11.0,1.0,0.0
